PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
Zach Norvell Jr.,SG,11.60,3.34,3.43,24.0,30.0,-
Jaylen Nowell,SG,10.76,3.13,3.23,32.0,38.5,2
Jordan Nwora,PF,-,-,-,-,-,-
Chuma Okeke,,-,-,-,-,-,-
KZ Okpala,SF,10.88,3.13,3.38,30.5,37.0,9
Miye Oni,SG,11.71,3.12,3.17,30.5,38.5,19
Eric Paschall,SF,11.63,3.26,3.30,33.0,38.0,18
Reggie Perry,SF-PF,12.46,3.40,3.30,28.5,31.5,15
Shamorie Ponds,PG,11.01,3.07,3.20,29.0,37.0,-
Jordan Poole,SG,10.59,3.14,3.27,28.0,35.5,-
Jontay Porter,PF,-,-,-,-,-,-
Kevin Porter Jr.,SG,10.82,3.03,3.14,27.0,34.0,2
Neemias Queta,C,12.04,3.45,3.73,24.0,32.5,1
Cameron Reddish,SF,-,-,-,-,-,-
Naz Reid,PF,12.03,3.76,3.42,26.0,32.5,3
Isaiah Roby,PF,10.63,3.05,3.25,32.5,35.5,9
Luka Samanic,PF,11.01,3.03,3.27,27.0,38.0,7
Admiral Schofield,SF,10.77,2.87,3.37,30.0,34.0,15
Marial Shayok,SF-PF,11.16,3.04,3.37,29.5,36.5,9
Simisola Shittu,PF,11.85,3.24,3.30,27.0,35.5,11
Killian Tillie,,-,-,-,-,-,-
P.J. Washington,PF,-,-,-,-,-,-
Tremont Waters,PG,10.76,3.11,3.07,30.5,40.5,5
Quinndary Weatherspoon,SG,11.57,3.15,3.16,31.0,38.0,-
Coby White,PG,-,-,-,-,-,-
Kris Wilkes,SF,10.39,3.09,3.34,27.5,35.0,4
Grant Williams,PF,10.83,3.27,3.33,26.0,31.5,20
Zion Williamson,PF,-,-,-,-,-,-
Dylan Windler,SF,10.70,2.94,3.30,29.0,37.5,8
Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,-
Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
Mohamed Bamba,C,-,-,-,-,-,-
Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,-
Miles Bridges,SF,-,-,-,-,-,-
Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,-
Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
Wendell Carter,C-PF,-,-,-,-,-,-
Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
Keenan Evans,PG,-,-,-,-,-,-
Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,-
Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
Isaac Haas,C,-,-,-,-,-,-
Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
Jaren Jackson,PF-C,-,-,-,-,-,-
Justin Jackson,PF,-,-,-,-,-,-
Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
Kevin Knox,SF,-,-,-,-,-,-
Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
Michael Porter,SF-PF,-,-,-,-,-,-
Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,-
Jerome Robinson,SG,-,-,-,-,-,-
Collin Sexton,PG,-,-,-,-,-,-
Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
