Player,Team,Number,Position,Height,Weight,Last Attended,Country
BrunoSundov,IND,14,C,218.44,117.93392,Split,Croatia
JonSundvold,SAS,20,G,187.96,77.11064,Missouri,USA
BobSura,CLE,3,G,195.58,90.7184,Florida State,USA
DickSurhoff,ATL,6,F,193.04,95.25431999999999,Long Island-Brooklyn,USA
DaneSuttle,SAC,2,G,190.5,86.18248,Pepperdine,USA
GregSutton,CHA,20,G,187.96,83.91452,Oral Roberts,USA
BennieSwain,BOS,16,F,203.2,99.79024,Texas Southern,USA
CalebSwanigan,POR,50,F,205.74,117.93392,Purdue,USA
NormSwanson,SAC,12,F,198.12,95.25431999999999,Detroit,USA
DanSwartz,BOS,12,F,193.04,97.52228,Morehead State,USA
MichaelSweetney,NYK,50,F,203.2,122.46984,Georgetown,USA
ColeSwider,LAL,20,F,205.74,99.79024,Syracuse,USA
RobertSwift,OKC,31,C,215.9,122.46984,Bakersfield HS (CA),USA
StromileSwift,MEM,4,F-C,208.28,99.79024,Louisiana State,USA
AaronSwinson,PHX,4,F,195.58,104.32616,Auburn,USA
CraigSword,WAS,,G,190.5,88.904032,Mississippi State,USA
PapeSy,ATL,19,F-G,200.66,102.0582,Le Havre,France
WallaceSydnor,CHS,,G,177.8,79.3786,Western Kentucky,USA
KeiferSykes,IND,28,G,180.34,75.749864,Wisconsin-Green Bay,USA
LarrySykes,BOS,54,F,205.74,115.66596,Xavier,USA
BrettSzabo,BOS,43,C,210.82,104.32616,Augustana (SD),USA
WallySzczerbiak,MIN,10,G-F,200.66,108.86207999999999,Miami (Ohio),USA
ZanTabak,TOR,55,C,213.36,116.573144,Olimpia Milino,Croatia
YutaTabuse,PHX,1,G,175.26,74.84268,Brigham Young-Hawaii,USA
ChrisTaft,GSW,21,F,208.28,118.387512,Pittsburgh,USA
SidTannenbaum,NYK,6,G,182.88,72.57472,New York University,USA
DraganTarlac,CHI,12,C-F,210.82,122.46984,Olympiacos,Serbia
RoyTarpley,DAL,42,F,213.36,104.32616,Michigan,USA
Jae'SeanTate,HOU,8,F,195.58,104.32616,Ohio State,USA
EarlTatum,LAL,43,G,193.04,83.91452,Marquette,USA
JaysonTatum,BOS,0,F-G,203.2,95.25431999999999,Duke,USA
EdyTavares,ATL,40,C,220.98,120.20188,Gran Canaria,Cabo Verde
AnthonyTaylor,MIA,3,G,193.04,79.3786,Oregon,USA
BrianTaylor,LAC,14,G,187.96,83.91452,Princeton,USA
DonellTaylor,WAS,21,G,195.58,87.543256,Alabama-Birmingham,USA
FredTaylor,PHX,23,G,195.58,81.64656,Texas-Pan American,USA
IsaiahTaylor,ATL,22,G,190.5,77.11064,Texas-Austin,USA
JayTaylor,BKN,24,F,190.5,86.18248,Eastern Illinois,USA
JeffTaylor,HOU,,G,193.04,79.3786,Texas Tech,USA
JefferyTaylor,CHA,44,F,200.66,102.0582,Vanderbilt,Sweden
JermaineTaylor,HOU,8,G,193.04,95.25431999999999,Central Florida,USA
JohnnyTaylor,DEN,23,F,205.74,99.79024,Tennessee-Chattanooga,USA
LeonardTaylor,GSW,44,F,203.2,99.79024,California,USA
MauriceTaylor,HOU,2,F,205.74,120.20188,Michigan,USA
MikeTaylor,LAC,4,G,187.96,74.84268,Iowa State,USA
RolandTaylor,DEN,,G,182.88,79.3786,La Salle,USA
TerryTaylor,IND,21,F,193.04,104.32616,Austin Peay,USA
TyshawnTaylor,BKN,41,G,190.5,83.91452,Kansas,USA
VinceTaylor,NYK,8,G,195.58,81.64656,Duke,USA
TerryTeagle,GSW,10,G,195.58,88.45044,Baylor,USA
JeffTeague,ATL,5,G,190.5,88.45044,Wake Forest,USA
MarquisTeague,CHI,20,G,187.96,85.728888,Kentucky,USA
MirzaTeletovic,BKN,35,F,205.74,111.13004,,Bosnia and Herzegovina
SebastianTelfair,MIN,13,G,182.88,77.11064,Abraham Lincoln HS (NY),USA
GarrettTemple,NOP,41,G-F,198.12,88.45044,Louisiana State,USA
MilosTeodosic,LAC,4,G,195.58,88.904032,CSKA Moscow,Serbia
IraTerrell,PHX,34,F,203.2,90.7184,Southern Methodist,USA
JaredTerrell,MIN,3,G,190.5,102.965384,Rhode Island,USA
CarlosTerry,WAS,12,G,193.04,95.25431999999999,Winston-Salem State,USA
ChuckTerry,MIL,12,G,198.12,97.52228,Long Beach State,USA
ClaudeTerry,ATL,12,G,195.58,88.45044,Stanford,USA
DalenTerry,CHI,25,F,200.66,88.45044,Arizona,USA
EmanuelTerry,PHX,10,F,205.74,99.79024,Lincoln Memorial,USA
JasonTerry,DAL,3,G,187.96,83.91452,Arizona,USA
TyrellTerry,MEM,3,G,187.96,72.57472,Stanford,USA
JonTeske,MEM,15,C,215.9,120.20188,Michigan,USA
HasheemThabeet,MEM,34,C,220.98,119.294696,Connecticut,Tanzania
TomThacker,SAC,12,G,187.96,77.11064,Cincinnati,USA
DanielTheis,IND,27,F-C,203.2,111.13004,Brose Bamberg,Germany
ReggieTheus,CHI,24,G,198.12,86.18248,UNLV,USA
PeterThibeaux,GSW,7,F,200.66,95.25431999999999,St. Mary's (CA),USA
BillThieben,DET,9,F,198.12,97.52228,Hofstra,USA
JustusThigpen,DET,23,G,185.42000000000002,72.57472,Weber State,USA
DavidThirdkill,BOS,45,F,200.66,88.45044,Bradley,USA
AdonisThomas,ORL,7,G-F,200.66,108.86207999999999,Memphis,USA
BillyThomas,BKN,12,G,195.58,99.79024,Kansas,USA
BrodricThomas,BOS,97,G,195.58,83.91452,-,USA
CamThomas,BKN,24,G,190.5,95.25431999999999,Louisiana State,Japan
CarlThomas,CLE,30,G,193.04,88.45044,Eastern Michigan,USA
CharlesThomas,DET,14,G,190.5,79.3786,Eastern Michigan,USA
EtanThomas,WAS,36,C,208.28,117.93392,Syracuse,USA
IrvingThomas,LAL,30,F,203.2,102.0582,Florida State,USA
IsaiahThomas,CHA,4,G,175.26,83.91452,Washington,USA
IsiahThomas,DET,11,G,185.42000000000002,81.64656,Indiana,USA
JamelThomas,BKN,5,F,198.12,99.336648,Providence,USA
JamesThomas,PHI,,F,205.74,111.13004,Texas-Austin,USA
JimThomas,IND,20,G,190.5,86.18248,Indiana,USA
JoeThomas,PHX,40,F,198.12,92.98636,Marquette,USA
JohnThomas,TOR,41,C,205.74,120.20188,Minnesota,USA
KennyThomas,HOU,9,F,200.66,111.13004,New Mexico,USA
KhyriThomas,DET,13,G,190.5,95.25431999999999,Creighton,USA
KurtThomas,NYK,40,C-F,205.74,104.32616,TCU,USA
LanceThomas,NYK,42,F,203.2,102.0582,Duke,USA
MalcolmThomas,PHI,22,F,205.74,102.0582,San Diego State,USA
MattThomas,CHI,21,G,190.5,86.18248,Iowa State,USA
TerryThomas,DET,50,F,203.2,99.79024,Detroit,USA
TimThomas,MIL,7,F,208.28,108.86207999999999,Villanova,USA
TyrusThomas,CHI,12,F,208.28,102.0582,Louisiana State,USA
TreyThompkins,LAC,33,F,208.28,111.13004,Georgia,USA
BernardThompson,PHX,25,G,198.12,95.25431999999999,Fresno State,USA
BillyThompson,MIA,55,F,200.66,88.45044,Louisville,USA
BrooksThompson,ORL,6,G,193.04,87.543256,Oklahoma State,USA
CornyThompson,DAL,25,F,203.2,102.0582,Connecticut,USA
